Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
6	without	without	without	9	L3	18.2	1
7	with	without	without	9	L3_PF	17.9	2
8	with	without	without	9	L3	16.1	2
9	with	without	without	9	L3_PF	17.4	2
10	with	without	without	9	L3	18.4	2
11	with	without	without	9	L3_PF	17.7	2
12	with	without	without	9	L3	17.6	2
13	without	with	without	9	L3	18.6	3
14	without	with	without	9	L3	18.7	3
15	without	with	without	9	L3	17.1	3
16	without	with	without	9	L3	17.9	3
17	without	with	without	9	L3_PF	17.2	3
18	without	with	without	9	L3	17.8	3
19	without	without	with	9	L3	19.6	4
20	without	without	with	9	L3_PF	18.6	4
21	without	without	with	9	L3	16.5	4
22	without	without	with	9	L3	14.9	4
23	without	without	with	9	L3	17.8	4
24	without	without	with	9	L3	18.2	4
25	with	with	without	9	L3	11.9	5
26	with	with	without	9	L3_PF	18.1	5
27	with	with	without	9	L3_PF	18.2	5
28	with	with	without	9	L3	19.5	5
29	with	with	without	9	L3	13.8	5
30	with	with	without	9	L3_PF	17.2	5
31	with	without	with	9	L3	18.3	6
32	with	without	with	9	L3_PF	18.4	6
33	with	without	with	9	L3	20.0	6
34	with	without	with	9	L3	16.7	6
35	with	without	with	9	L3	19.3	6
36	with	without	with	9	L3	17.8	6
37	without	with	with	9	L3	18.2	7
38	without	with	with	9	L3	17.9	7
39	without	with	with	9	L3	17.3	7
40	without	with	with	9	L3	18.3	7
41	without	with	with	9	L3	10.9	7
42	without	with	with	9	L3_PF	17.3	7
43	with	with	with	9	L3	13.9	8
44	with	with	with	9	L3_PF	19.1	8
45	with	with	with	9	L3	15.9	8
46	with	with	with	9	L3	12.9	8
47	with	with	with	9	L3_PF	17.5	8
48	with	with	with	9	L3	19.2	8
1	without	without	without	10	L3	15.7	1
2	without	without	without	10	L3	16.9	1
3	without	without	without	10	L3_PF	18.3	1
4	without	without	without	10	L3_PF	16.4	1
5	without	without	without	10	L3_PF	17.4	1
6	without	without	without	10	L3_PF	16.7	1
7	with	without	without	10	L3_PF	17.8	2
8	with	without	without	10	L3_PF	17.4	2
9	with	without	without	10	L3_PF	17.4	2
10	with	without	without	10	L3	17.3	2
11	with	without	without	10	L3_PF	16.8	2
12	with	without	without	10	L3_PF	16.7	2
13	without	with	without	10	L3	13.5	3
14	without	with	without	10	L3	18.7	3
15	without	with	without	10	L3	14.6	3
16	without	with	without	10	L3_PF	17.1	3
17	without	with	without	10	L3_PF	17.3	3
18	without	with	without	10	L3_PF	16.6	3
19	without	without	with	10	L3	17.7	4
20	without	without	with	10	L3	16.2	4
21	without	without	with	10	L3	17.4	4
22	without	without	with	10	L3	14.4	4
23	without	without	with	10	L3_PF	18.3	4
24	without	without	with	10	L3_PF	16.3	4
25	with	with	without	10	L3	16.8	5
26	with	with	without	10	L3_PF	17.2	5
27	with	with	without	10	L3	17.1	5
28	with	with	without	10	L3_PF	17.9	5
29	with	with	without	10	L3_PF	16.3	5
30	with	with	without	10	L3_PF	18.4	5
31	with	without	with	10	L3	16.2	6
32	with	without	with	10	L3_PF	16.9	6
33	with	without	with	10	L3	18.2	6
34	with	without	with	10	L3_PF	15.9	6
35	with	without	with	10	L3_PF	18.4	6
36	with	without	with	10	L3_PF	18.9	6
37	without	with	with	10	L3	14.2	7
38	without	with	with	10	L3	13.3	7
39	without	with	with	10	L3	12.9	7
40	without	with	with	10	L3	12.8	7
41	without	with	with	10	L3	13.8	7
42	without	with	with	10	L3_PF	18.3	7
43	with	with	with	10	L3_PF	17.4	8
44	with	with	with	10	L3	14.8	8
45	with	with	with	10	L3_PF	17.3	8
46	with	with	with	10	L3	14.3	8
47	with	with	with	10	L3_PF	18.2	8
48	with	with	with	10	L3_PF	19.3	8
1	without	without	without	11	L3_PF	17.5	1
2	without	without	without	11	L3	18.2	1
3	without	without	without	11	L3	12.6	1
4	without	without	without	11	L3_PF	17.0	1
5	without	without	without	11	L3_PF	17.1	1
6	without	without	without	11	L3_PF	18.6	1
7	with	without	without	11	L3_PF	15.7	2
8	with	without	without	11	L3_PF	18.1	2
9	with	without	without	11	L3_PF	15.7	2
10	with	without	without	11	L3_PF	17.3	2
11	with	without	without	11	L3_PF	16.0	2
12	with	without	without	11	L3_PF	17.2	2
13	without	with	without	11	L3	18.1	3
14	without	with	without	11	L3_PF	17.2	3
15	without	with	without	11	L3_PF	16.2	3
16	without	with	without	11	L3	12.9	3
17	without	with	without	11	L3_PF	17.4	3
18	without	with	without	11	L3_PF	19.0	3
19	without	without	with	11	L3_PF	17.7	4
20	without	without	with	11	L3_PF	17.5	4
21	without	without	with	11	L3_PF	15.7	4
22	without	without	with	11	L3_PF	17.3	4
23	without	without	with	11	L3_PF	16.6	4
24	without	without	with	11	L3_PF	18.0	4
25	with	with	without	11	L3_PF	17.3	5
26	with	with	without	11	L3_PF	16.9	5
27	with	with	without	11	L3_PF	17.3	5
28	with	with	without	11	L3_PF	17.9	5
29	with	with	without	11	L3_PF	17.0	5
30	with	with	without	11	L3_PF	18.0	5
31	with	without	with	11	L3_PF	16.9	6
32	with	without	with	11	L3_PF	16.8	6
33	with	without	with	11	L3_PF	16.8	6
34	with	without	with	11	L3_PF	17.5	6
35	with	without	with	11	L3_PF	13.0	6
36	with	without	with	11	L3_PF	17.1	6
37	without	with	with	11	L3_PF	16.5	7
38	without	with	with	11	L3_PF	17.2	7
39	without	with	with	11	L3_PF	17.5	7
40	without	with	with	11	L3_PF	17.6	7
42	without	with	with	11	L3_PF	15.8	7
43	with	with	with	11	L3_PF	16.5	8
44	with	with	with	11	L3_PF	17.0	8
45	with	with	with	11	L3_PF	17.0	8
46	with	with	with	11	L3_PF	16.8	8
47	with	with	with	11	L3_PF	17.0	8
48	with	with	with	11	L3_PF	18.3	8
1	without	without	without	12	L3	15.5	1
2	without	without	without	12	L3	16.8	1
3	without	without	without	12	L3	16.3	1
4	without	without	without	12	L3	16.4	1
5	without	without	without	12	L3	16.7	1
6	without	without	without	12	L3	15.8	1
7	with	without	without	12	L3	14.5	2
8	with	without	without	12	L3	16.9	2
9	with	without	without	12	L3	16.2	2
10	with	without	without	12	L3	15.9	2
11	with	without	without	12	L3	16.2	2
12	with	without	without	12	L3	16.1	2
13	without	with	without	12	L3	14.9	3
14	without	with	without	12	L3	16.8	3
15	without	with	without	12	L3	16.8	3
16	without	with	without	12	L3	14.7	3
17	without	with	without	12	L3	15.2	3
18	without	with	without	12	L3	17.2	3
19	without	without	with	12	L3	16.0	4
20	without	without	with	12	L3	16.3	4
21	without	without	with	12	L3	16.5	4
22	without	without	with	12	L3	16.7	4
23	without	without	with	12	L3	17.1	4
24	without	without	with	12	L3	17.1	4
25	with	with	without	12	L3	17.2	5
26	with	with	without	12	L3	16.1	5
27	with	with	without	12	L3	15.3	5
28	with	with	without	12	L3	17.5	5
29	with	with	without	12	L3	16.3	5
30	with	with	without	12	L3	16.0	5
31	with	without	with	12	L3	16.2	6
32	with	without	with	12	L3	15.7	6
33	with	without	with	12	L3	15.0	6
34	with	without	with	12	L3	16.0	6
35	with	without	with	12	L3	15.9	6
36	with	without	with	12	L3	16.3	6
37	without	with	with	12	L3	17.3	7
38	without	with	with	12	L3	17.5	7
39	without	with	with	12	L3	17.1	7
40	without	with	with	12	L3	18.0	7
41	without	with	with	12	L3	13.5	7
42	without	with	with	12	L3	17.5	7
43	with	with	with	12	L3	17.8	8
44	with	with	with	12	L3	16.7	8
45	with	with	with	12	L3	16.8	8
46	with	with	with	12	L3	17.2	8
47	with	with	with	12	L3	16.3	8
48	with	with	with	12	L3	16.5	8
1	without	without	without	13	L3_PF	16.2	1
2	without	without	without	13	L3	16.6	1
3	without	without	without	13	L3_PF	17.1	1
4	without	without	without	13	L3	14.4	1
5	without	without	without	13	L3_PF	16.3	1
6	without	without	without	13	L3_PF	17.2	1
7	with	without	without	13	L3	16.1	2
8	with	without	without	13	L3_PF	15.2	2
9	with	without	without	13	L3_PF	15.8	2
10	with	without	without	13	L3_PF	16.8	2
11	with	without	without	13	L3_PF	16.2	2
12	with	without	without	13	L3_PF	15.7	2
13	without	with	without	13	L3_PF	16.9	3
14	without	with	without	13	L3	16.3	3
15	without	with	without	13	L3_PF	16.3	3
16	without	with	without	13	L3_PF	17.2	3
17	without	with	without	13	L3_PF	16.4	3
18	without	with	without	13	L3_PF	15.2	3
19	without	without	with	13	L3	17.1	4
20	without	without	with	13	L3_PF	16.2	4
21	without	without	with	13	L3_PF	17.9	4
22	without	without	with	13	L3_PF	16.4	4
23	without	without	with	13	L3_PF	13.4	4
24	without	without	with	13	L3_PF	16.7	4
25	with	with	without	13	L3_PF	17.0	5
26	with	with	without	13	L3	14.9	5
27	with	with	without	13	L3_PF	16.9	5
28	with	with	without	13	L3_PF	15.6	5
