Source	Target	@mention	retweet	Weight
babyboom4trump	foxnews		1	1
babybu1rt6	philstockworld		1	1
babydes_des	1942bs		1	1
babyfingertrump	judesb	1		1
babyolman	putinrf_eng		1	1
babypartay	feministculture		1	1
babypartay	lexi4prez		1	1
babyrocky10	bfraser747		1	1
babyrocky10	pamela_moore13		1	1
babyrocky10	ten_gop		1	1
bachdavidm	chargerjose760	1		1
bachic2	sowithher		1	1
backscatter	dineshdsouza		1	1
baconman8910	georgetakei		1	1
bad_indian_girl	digby56		1	1
bad_indian_girl	mediaite		1	1
badabing52	mike_pence		1	1
badbiddiestacy	lexi4prez		1	1
badhg21	caseygerald		1	1
badjerry_1	commondreams		1	1
badjerry_1	cracked		1	1
badjerry_1	debraclinton		1	1
badjerry_1	democracynow		1	1
badjerry_1	docrocktex26		1	1
badjerry_1	normornstein		1	1
badjerry_1	rawstory		1	1
badjerry_1	tomricks1		1	1
badrbutters	jackposobiec		3	3
badrbutters	jasonmillerindc		1	1
badtweetbot	deplorable_dean		1	1
badtweetbot	teddybeardarlii		1	1
baezhuliseba	jealvarezb343		1	1
baghdadjimwade	mediaite		1	1
bagserkutena	blsexting		1	1
bahamajoe0	bahamajoe0		1	1
bahamamama21	debramessing		1	1
bahmanabady1	frantownsend		1	1
baileelee	mattyglesias		1	1
baktoroots	reuters	1		1
balanceourworld	mitchellvii		1	1
baldheadslade	brookingsinst		1	1
baldheadslade	caseygerald		1	1
baldheadslade	ppppolls		2	2
baldman416	warrenholstein		1	1
balind8	constancequeen8		1	1
bamaperry	thehill		1	1
bambi689	theeconomist		1	1
banavalisamir	forbes		1	1
bangxbitchx	davebernstein		1	1
banksger1	danpfeiffer		1	1
bannerite	tina49747372		1	1
banofromthe79th	foodandwine		1	1
baratunde	nycmayor		1	1
barb_swan	kirabind		1	1
barb_swan	motherjones		1	1
barb_swan	normornstein		1	1
barb_swan	rabbijill		1	1
barb_swan	theplumlinegs		1	1
barbara21568761	dineshdsouza		1	1
barbaraowen13	jonathanchait		1	1
barbaraowen13	lolgop		1	1
barbaraowen13	tripgabriel		1	1
barbb0925	captainslog2016		1	1
barbb0925	jjfinect		1	1
barbb0925	t_e_d_1949		1	1
barbcanovan	coslive	1		1
barbiewithatude	cfr_org		1	1
barbiewithatude	newrepublic		1	1
barbiewithatude	rawstory		1	1
barbmuenchen	thetrumplady		1	1
barney_cannon	cnn	1		1
barrydeutsch	brentinmock		1	1
barteksapryk	businessinsider		1	1
barterisevil	evan_mcmullin		1	1
baseballguycaa	lisavikingstad		1	1
bashful_one	funder		3	3
bassem__braiki	youtube	1		1
bassethoundfinn	funder		1	1
bassethoundfinn	sarahksilverman		1	1
bassethoundfinn	sopandeb		1	1
bastiongray	ariberman		1	1
bastiongray	politico		1	1
batdiver13	markos		1	1
batdiver13	vickscan		1	1
battleground_a1	textporns		1	1
battlessbaindc	politico		1	1
baumbigmb	nprinskeep		1	1
bawanies	nycmayor		1	1
