WDS	LDS	WMS	LMS	WGS	LGS	WAS	LAS	Area	Morphotypes
1.83	1.22	0.36	0.44	0.73	0.59	0.25	0.16	9	1
1.76	1.22	0.35	0.46	0.72	0.55	0.25	0.14	9	1
1.80	1.18	0.36	0.43	0.74	0.56	0.26	0.14	9	1
1.68	1.20	0.31	0.46	0.71	0.58	0.22	0.15	9	1
1.73	1.15	0.36	0.45	0.72	0.55	0.27	0.15	9	1
1.73	1.15	0.36	0.45	0.75	0.55	0.22	0.15	9	1
1.71	1.15	0.35	0.46	0.72	0.58	0.26	0.15	9	1
1.73	1.15	0.36	0.45	0.72	0.57	0.25	0.15	9	1
1.76	1.22	0.35	0.45	0.73	0.56	0.26	0.16	9	1
1.80	1.20	0.36	0.47	0.72	0.59	0.22	0.17	9	1
1.85	1.22	0.38	0.45	0.75	0.56	0.27	0.15	9	1
1.78	1.15	0.36	0.45	0.75	0.58	0.26	0.15	9	1
1.83	1.37	0.37	0.5	0.75	0.56	0.26	0.13	9	1
1.83	1.15	0.36	0.45	0.75	0.59	0.23	0.13	9	1
1.83	1.17	0.37	0.45	0.76	0.59	0.22	0.13	9	1
1.61	1.20	0.32	0.42	0.7	0.54	0.23	0.15	9	1
1.68	1.17	0.32	0.42	0.66	0.55	0.24	0.18	9	1
1.73	1.17	0.39	0.45	0.7	0.56	0.23	0.15	9	1
1.83	1.24	0.4	0.45	0.73	0.58	0.21	0.17	9	1
1.71	1.15	0.36	0.45	0.71	0.56	0.25	0.16	9	1
1.71	1.17	0.32	0.45	0.71	0.57	0.21	0.16	9	1
1.78	1.15	0.36	0.42	0.73	0.59	0.23	0.12	9	1
1.83	1.22	0.36	0.44	0.75	0.57	0.22	0.14	9	1
1.73	1.12	0.35	0.42	0.75	0.57	0.27	0.12	9	1
1.71	1.12	0.35	0.47	0.72	0.56	0.25	0.15	9	1
1.80	1.22	0.35	0.45	0.74	0.54	0.26	0.15	9	1
1.71	1.15	0.34	0.44	0.69	0.56	0.25	0.14	9	1
1.76	1.20	0.345	0.44	0.73	0.53	0.26	0.155	10	1
1.76	1.17	0.36	0.42	0.72	0.54	0.26	0.16	10	1
1.76	1.17	0.38	0.46	0.74	0.56	0.24	0.15	10	1
