Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
May_04	30.1	12.0	14.8	4.0	13.2	3.8	5.0	f	1
May_04	45.0	19.5	27.5	9.3	27.8	10.1	20.5	f	2
May_04	26.9	11.0	11.6	3.3	11.6	3.4	4.0	f	1
May_04	23.8	9.5	12.2	3.2	12.2	3.3	3.0	m	2
May_04	45.2	19.0	NA	NA	39.1	14.7	NA	m	2
May_04	35.5	14.8	19.9	5.8	17.1	4.8	9.0	f	1
May_04	NA	NA	NA	NA	NA	NA	27.5	m	1
May_04	NA	NA	NA	NA	NA	NA	5.5	m	2
May_04	NA	NA	NA	NA	NA	NA	14.5	f	1
May_04	NA	NA	NA	NA	NA	NA	35.0	m	1
May_04	NA	NA	NA	NA	NA	NA	9.5	f	1
May_04	NA	NA	NA	NA	NA	NA	11.5	m	2
May_04	NA	NA	NA	NA	NA	NA	13.0	m	2
May_04	NA	NA	NA	NA	NA	NA	20.0	m	1
May_04	NA	NA	NA	NA	NA	NA	16.0	f	2
May_04	NA	NA	NA	NA	NA	NA	19.0	f	2
May_04	NA	NA	NA	NA	NA	NA	24.5	f	2
May_04	NA	NA	NA	NA	NA	NA	17.0	m	1
May_04	NA	NA	NA	NA	NA	NA	22.5	f	2
May_04	NA	NA	NA	NA	NA	NA	12.0	m	2
May_04	NA	NA	NA	NA	NA	NA	9.0	f	1
May_04	NA	NA	NA	NA	NA	NA	11.0	f	1
May_04	NA	NA	NA	NA	NA	NA	8.5	m	2
May_04	NA	NA	NA	NA	NA	NA	26.5	m	1
May_04	NA	NA	NA	NA	NA	NA	13.5	m	2
May_04	NA	NA	NA	NA	NA	NA	5.5	f	1
May_04	NA	NA	NA	NA	NA	NA	45.0	m	1
May_04	NA	NA	NA	NA	NA	NA	17.0	f	1
May_04	NA	NA	NA	NA	NA	NA	13.5	f	1
May_04	NA	NA	NA	NA	NA	NA	21.0	f	1
May_04	NA	NA	NA	NA	NA	NA	21.0	f	1
May_04	NA	NA	NA	NA	NA	NA	13.5	f	1
May_04	NA	NA	NA	NA	NA	NA	19.0	f	1
May_04	NA	NA	NA	NA	NA	NA	14.0	f	1
May_04	NA	NA	NA	NA	NA	NA	24.5	f	2
May_04	NA	NA	NA	NA	NA	NA	20.5	m	1
May_04	NA	NA	NA	NA	NA	NA	15.5	m	2
May_04	NA	NA	NA	NA	NA	NA	45.0	m	1
May_04	NA	NA	NA	NA	NA	NA	37.0	m	1
May_04	NA	NA	NA	NA	NA	NA	16.5	m	1
May_04	NA	NA	NA	NA	NA	NA	26.0	f	2
May_04	NA	NA	NA	NA	NA	NA	10.5	m	2
May_04	NA	NA	NA	NA	NA	NA	24.5	f	1
May_04	NA	NA	NA	NA	NA	NA	10.0	f	1
May_04	NA	NA	NA	NA	NA	NA	20.5	f	1
May_04	NA	NA	NA	NA	NA	NA	18.0	f	2
May_04	NA	NA	NA	NA	NA	NA	23.0	f	2
May_04	NA	NA	NA	NA	NA	NA	10.5	f	1
May_04	NA	NA	NA	NA	NA	NA	18.5	f	2
May_04	NA	NA	NA	NA	NA	NA	28.5	m	1
May_04	NA	NA	NA	NA	NA	NA	54.0	m	1
May_04	NA	NA	NA	NA	NA	NA	28.5	f	2
May_04	NA	NA	NA	NA	NA	NA	26.0	f	3
May_04	NA	NA	NA	NA	NA	NA	16.0	m	2
May_04	NA	NA	NA	NA	NA	NA	18.5	f	2
May_04	NA	NA	NA	NA	NA	NA	7.5	f	1
May_04	NA	NA	NA	NA	NA	NA	6.5	f	1
May_04	NA	NA	NA	NA	NA	NA	9.5	m	2
May_04	NA	NA	NA	NA	NA	NA	10.0	m	2
May_04	NA	NA	NA	NA	NA	NA	8.5	f	1
May_04	NA	NA	NA	NA	NA	NA	4.5	f	1
May_04	NA	NA	NA	NA	NA	NA	9.5	f	1
May_04	NA	NA	NA	NA	NA	NA	9.0	f	1
May_04	NA	NA	NA	NA	NA	NA	8.0	f	1
May_04	NA	NA	NA	NA	NA	NA	11.0	m	2
May_04	NA	NA	NA	NA	NA	NA	14.0	m	2
May_04	NA	NA	NA	NA	NA	NA	16.0	f	1
May_04	NA	NA	NA	NA	NA	NA	20.0	f	1
May_04	NA	NA	NA	NA	NA	NA	37.5	m	1
May_04	NA	NA	NA	NA	NA	NA	22.5	f	2
May_04	NA	NA	NA	NA	NA	NA	14.5	f	1
May_04	NA	NA	NA	NA	NA	NA	15.0	f	1
May_04	NA	NA	NA	NA	NA	NA	27.5	f	3
May_04	NA	NA	NA	NA	NA	NA	16.0	m	2
May_04	NA	NA	NA	NA	NA	NA	12.5	f	1
May_04	NA	NA	NA	NA	NA	NA	38.0	m	1
