S_plot	GVC	HLC	SLC	NLC	LC	FWDC	CWDC	LLC	MLD	OM	X	Y	Hlog10
27	0.39	0.78	0.00	0.03	0.19	0.10	0.1	0.19	0.00	0.12	163811	334866	1
27	0.76	0.39	0.00	0.01	0.03	0.10	0.29	0.03	0.03	0.20	163856	334860	0.87
27	0.71	0.45	0.00	0.02	0.09	0.16	0.27	0.09	0.03	0.17	163915	334835	1.02
27	0.78	0.40	0.00	0.07	0.14	0.03	0.2	0.14	0.00	0.23	163984	334831	0.84
28	0.24	0.36	0.29	0.00	0.00	0.00	0	0.00	0.00	0.23	184938	154427	1.05
28	0.05	0.39	0.31	0.00	0.00	0.00	0	0.00	0.00	0.09	184916	154383	1.03
28	0.12	0.23	0.49	0.00	0.00	0.00	0	0.00	0.00	0.33	184863	154389	1.06
28	0.04	0.59	0.30	0.00	0.00	0.00	0	0.00	0.00	0.25	184823	154416	1.1
28	0.33	0.25	0.26	0.00	0.00	0.00	0	0.00	0.00	0.20	184777	154445	0.83
29	0.25	0.49	0.16	0.00	0.49	0.18	0.03	0.49	0.00	0.18	208174	81858	0.55
29	0.73	0.43	0.00	0.00	0.39	0.10	0.01	0.39	0.00	0.15	208208	81795	0.5
29	0.64	0.20	0.38	0.00	0.46	0.06	0.09	0.46	0.00	0.12	208245	81725	0.37
29	0.35	0.49	0.16	0.00	0.13	0.05	0.12	0.13	0.00	0.24	208279	81678	0.37
29	0.32	0.36	0.00	0.00	0.51	0.02	0.01	0.51	0.00	0.13	NA	NA	0.44
30	0.00	0.00	0.03	0.88	0.00	0.08	0.13	0.00	0.20	0.95	NA	NA	0.92
30	0.10	0.00	0.03	0.88	0.00	0.05	0.07	0.00	0.15	0.58	114322	80241	0.97
30	0.60	0.16	0.03	0.45	0.00	0.05	0.05	0.00	0.20	0.68	114394	80125	1.07
30	0.02	0.00	0.03	0.88	0.00	0.03	0.15	0.00	0.35	0.94	NA	NA	0.93
30	0.25	0.00	0.03	0.83	0.00	0.20	0.15	0.00	0.90	0.72	NA	NA	1
31	0.58	0.58	0.60	0.00	0.36	0.06	0.01	0.36	0.00	0.39	306095	166187	1.03
31	0.35	0.88	0.23	0.00	0.11	0.03	0.01	0.11	0.00	0.22	306089	166226	1.2
31	0.15	0.61	0.00	0.63	0.00	0.21	0.18	0.00	0.10	0.29	NA	NA	1.09
31	0.24	0.41	0.00	0.47	0.00	0.05	0.2	0.00	0.25	0.47	306126	166369	1.02
31	0.39	0.00	0.00	0.58	0.03	0.20	0.12	0.03	0.10	0.55	306205	166435	1.06
31	0.53	0.12	0.00	0.48	0.01	0.20	0.15	0.01	0.10	0.30	306254	166467	0.94
31	0.68	0.00	0.00	0.25	0.00	0.11	0.07	0.00	0.20	0.67	306298	166525	0.9
