Site	Latitude	Longitude	Ecosystem	Temp	Flux
Kompsasuo90m2002	65.44	25.57	Wetland	0.522800026	0.62578622
Kompsasuo90m2002	65.44	25.57	Wetland	0.39169011	0.859390468
Kompsasuo90m2002	65.44	25.57	Wetland	0.112617654	0.122440665
KotsamolampiPond	68.05	27.06	Aquatic	-0.291329005	-0.286692718
KotsamolampiPond	68.05	27.06	Aquatic	-0.052978162	0.157238671
KotsamolampiPond	68.05	27.06	Aquatic	-0.618337588	-0.979839899
Kytalyksite1	70.49	147.29	Wetland	-1.150780726	-0.165611996
Kytalyksite1	70.49	147.29	Wetland	-1.116242418	-0.189177788
Kytalyksite1	70.49	147.29	Wetland	-1.05700072	-0.186417615
Kytalyksite1	70.49	147.29	Wetland	-1.014288231	-0.15910506
Kytalyksite1	70.49	147.29	Wetland	-1.031538094	-0.207665321
Kytalyksite1	70.49	147.29	Wetland	-1.100242121	-0.207665321
Kytalyksite1	70.49	147.29	Wetland	-1.109194887	-0.251762991
Kytalyksite1	70.49	147.29	Wetland	-1.006691182	-0.233683917
Kytalyksite1	70.49	147.29	Wetland	-0.9723933	-0.244863948
Kytalyksite1	70.49	147.29	Wetland	-0.921126235	-0.271887526
Kytalyksite1	70.49	147.29	Wetland	-0.866794829	-0.2591087
Kytalyksite1	70.49	147.29	Wetland	-0.849682647	-0.264827048
Kytalyksite1	70.49	147.29	Wetland	-0.782387791	-0.243812485
Kytalyksite1	70.49	147.29	Wetland	-0.845914085	-0.239654651
Kytalyksite1	70.49	147.29	Wetland	-0.86287807	-0.216292447
Kytalyksite1	70.49	147.29	Wetland	-0.791781317	-0.197646213
Kytalyksite1	70.49	147.29	Wetland	-0.740963232	-0.208428373
Kytalyksite1	70.49	147.29	Wetland	-0.72021035	-0.22605257
Kytalyksite1	70.49	147.29	Wetland	-0.712001485	-0.184600065
Kytalyksite1	70.49	147.29	Wetland	-0.636978624	-0.243987652
Kytalyksite1	70.49	147.29	Wetland	-0.772709743	-0.112519435
Kytalyksite1	70.49	147.29	Wetland	-0.655062361	-0.136153225
Kytalyksite1	70.49	147.29	Wetland	-0.713297402	-0.061630706
Kytalyksite1	70.49	147.29	Wetland	-0.583968087	-0.19921858
Kytalyksite1	70.49	147.29	Wetland	-0.567090987	-0.188534739
Kytalyksite1	70.49	147.29	Wetland	-0.538517642	-0.237147134
Kytalyksite1	70.49	147.29	Wetland	-0.713729393	-0.208617946
Kytalyksite1	70.49	147.29	Wetland	-0.488895484	-0.245655931
Kytalyksite1	70.49	147.29	Wetland	-0.488895484	-0.240045862
Kytalyksite1	70.49	147.29	Wetland	-0.418378437	-0.240045862
Kytalyksite1	70.49	147.29	Wetland	-0.356734932	-0.281089523
Kytalyksite1	70.49	147.29	Wetland	-0.381511511	-0.205803666
Kytalyksite1	70.49	147.29	Wetland	-0.443656793	-0.167503512
Kytalyksite1	70.49	147.29	Wetland	-0.511124927	-0.097532829
Kytalyksite1	70.49	147.29	Wetland	-0.477647533	-0.097532829
Kytalyksite1	70.49	147.29	Wetland	-0.560801409	-0.053581193
Kytalyksite1	70.49	147.29	Wetland	-0.432433861	-0.131374931
Kytalyksite1	70.49	147.29	Wetland	-0.403481802	-0.145235252
Kytalyksite1	70.49	147.29	Wetland	-0.353622305	-0.136405849
Kytalyksite1	70.49	147.29	Wetland	-0.362253947	-0.11406129
Kytalyksite1	70.49	147.29	Wetland	-0.382503205	-0.066228578
Kytalyksite1	70.49	147.29	Wetland	-0.39922763	-0.034168846
Kytalyksite1	70.49	147.29	Wetland	-0.432433861	-0.021756527
Kytalyksite1	70.49	147.29	Wetland	-0.561373108	-0.013952969
Kytalyksite1	70.49	147.29	Wetland	-0.561373108	0.038854592
Kytalyksite1	70.49	147.29	Wetland	-0.619340902	0.047137722
Kytalyksite1	70.49	147.29	Wetland	-0.469678071	0.044034111
Kytalyksite1	70.49	147.29	Wetland	-0.337642254	0.038854592
Kytalyksite1	70.49	147.29	Wetland	-0.292175247	-0.001945899
Kytalyksite1	70.49	147.29	Wetland	-0.214468882	0.014249892
Kytalyksite1	70.49	147.29	Wetland	-0.320544843	-0.135876841
Kytalyksite1	70.49	147.29	Wetland	-0.180916817	-0.16372895
Kytalyksite1	70.49	147.29	Wetland	-0.28681631	-0.23273337
Kytalyksite1	70.49	147.29	Wetland	-0.204214843	-0.23273337
Kytalyksite1	70.49	147.29	Wetland	-0.147420474	-0.213564649
Kytalyksite1	70.49	147.29	Wetland	-0.081850581	-0.208131277
Kytalyksite1	70.49	147.29	Wetland	-0.093997744	-0.139289333
Kytalyksite1	70.49	147.29	Wetland	-0.167035011	-0.086696964
Kytalyksite1	70.49	147.29	Wetland	-0.073896069	-0.062104147
Kytalyksite1	70.49	147.29	Wetland	-0.017467597	-0.02114461
Kytalyksite1	70.49	147.29	Wetland	0.134446813	-0.139289333
Kytalyksite1	70.49	147.29	Wetland	0.1829934	-0.144360328
Kytalyksite1	70.49	147.29	Wetland	0.199241193	-0.162392376
Kytalyksite1	70.49	147.29	Wetland	0.323278995	-0.171455288
Kytalyksite1	70.49	147.29	Wetland	-0.013850435	0.135802277
Kytalyksite1	70.49	147.29	Wetland	0.247630818	0.186879136
Kytalyksite1	70.49	147.29	Wetland	0.491765194	0.058519616
Kytalyksite1	70.49	147.29	Wetland	-1.126965154	-0.034396974
Kytalyksite2	70.49	147.29	Wetland	-1.481875408	-1.366611738
Kytalyksite2	70.49	147.29	Wetland	-1.438576527	-0.272850588
Kytalyksite2	70.49	147.29	Wetland	-1.238635502	-0.873688765
Kytalyksite2	70.49	147.29	Wetland	-1.217374626	-0.74321982
Kytalyksite2	70.49	147.29	Wetland	-1.273674976	-0.620590374
Kytalyksite2	70.49	147.29	Wetland	-1.20498253	-0.608852961
Kytalyksite2	70.49	147.29	Wetland	-1.152840152	-0.53917831
Kytalyksite2	70.49	147.29	Wetland	-1.13548856	-0.474043613
Kytalyksite2	70.49	147.29	Wetland	-1.07516572	-0.458637673
Kytalyksite2	70.49	147.29	Wetland	-1.040607375	-0.479546434
Kytalyksite2	70.49	147.29	Wetland	-1.134900626	-0.740324782
Kytalyksite2	70.49	147.29	Wetland	-1.078976541	-0.960107838
Kytalyksite2	70.49	147.29	Wetland	-0.963354023	-1.021353171
Kytalyksite2	70.49	147.29	Wetland	-0.971664178	-2.953934129
Kytalyksite2	70.49	147.29	Wetland	-0.949948222	-0.76714156
Kytalyksite2	70.49	147.29	Wetland	-0.941646839	-0.699574671
Kytalyksite2	70.49	147.29	Wetland	-0.962625222	-0.554372388
Kytalyksite2	70.49	147.29	Wetland	-0.864183573	-0.577406162
Kytalyksite2	70.49	147.29	Wetland	-0.881307862	-0.67529318
Kytalyksite2	70.49	147.29	Wetland	-0.881307862	-0.78291497
Kytalyksite2	70.49	147.29	Wetland	-0.821724827	-0.714208403
Kytalyksite2	70.49	147.29	Wetland	-0.787589826	-0.761885341
Kytalyksite2	70.49	147.29	Wetland	-0.749616486	-0.928680604
Kytalyksite2	70.49	147.29	Wetland	-0.564374794	-1.161142709
Kytalyksite2	70.49	147.29	Wetland	-0.724388056	-0.489771698
Kytalyksite2	70.49	147.29	Wetland	-0.631384524	-0.489771698
Kytalyksite2	70.49	147.29	Wetland	-0.673449566	-0.408491627
Kytalyksite2	70.49	147.29	Wetland	-0.869696614	-0.412874477
Kytalyksite2	70.49	147.29	Wetland	-0.903968708	-0.35525002
Kytalyksite2	70.49	147.29	Wetland	-0.840552326	-0.35525002
Kytalyksite2	70.49	147.29	Wetland	-0.904695431	-0.305391312
Kytalyksite2	70.49	147.29	Wetland	-0.836061121	-0.305391312
Kytalyksite2	70.49	147.29	Wetland	-0.848812918	-0.258447631
Kytalyksite2	70.49	147.29	Wetland	-0.883050116	-0.241635955
Kytalyksite2	70.49	147.29	Wetland	-0.870277021	-0.208868072
Kytalyksite2	70.49	147.29	Wetland	-0.828529696	-0.208868072
Kytalyksite2	70.49	147.29	Wetland	-0.777331523	-0.225117802
Kytalyksite2	70.49	147.29	Wetland	-0.760293877	-0.310614139
Kytalyksite2	70.49	147.29	Wetland	-0.628803149	-0.323886255
Kytalyksite2	70.49	147.29	Wetland	-0.658221483	-0.254017944
Kytalyksite2	70.49	147.29	Wetland	-0.675174216	-0.262218666
Kytalyksite2	70.49	147.29	Wetland	-0.966561053	-0.262218666
Kytalyksite2	70.49	147.29	Wetland	-1.013703743	-0.204652201
Kytalyksite2	70.49	147.29	Wetland	-1.048363314	-0.127428681
Kytalyksite2	70.49	147.29	Wetland	-1.139457553	-0.340911406
Kytalyksite2	70.49	147.29	Wetland	-1.229626492	-0.387629411
Kytalyksite2	70.49	147.29	Wetland	-1.271751442	-0.024288712
Kytalyksite2	70.49	147.29	Wetland	-0.891327843	-0.122853431
Kytalyksite2	70.49	147.29	Wetland	-0.827371261	-0.137753842
Kytalyksite2	70.49	147.29	Wetland	-0.810147265	-0.093688936
Kytalyksite2	70.49	147.29	Wetland	-0.763469312	-0.065350961
Kytalyksite2	70.49	147.29	Wetland	-0.746443201	-0.108157946
Kytalyksite2	70.49	147.29	Wetland	-0.699766316	-0.152879637
